Satellite,Inclination,Altitude_km,Eccentricity,Inclination_rad,Altitude_norm,Collision_risk
STARLINK-1008,53.0514,554.3594107464987,0.0001316,0.9259216027925198,0.9340256416802998,1
STARLINK-1010,53.0513,345.2282012147998,0.0010346,0.9259198574632677,0.4377187845182974,0
STARLINK-1011,53.0505,374.3657373169199,0.0006708,0.9259058948292518,0.506867521336059,0
STARLINK-1012,53.0497,554.361954588092,0.0001925,0.9258919321952359,0.9340316786846719,1
STARLINK-1015,53.0438,289.2082175888545,0.0001478,0.9257889577693681,0.3047730511965307,0
STARLINK-1017,53.0546,540.9487787177022,0.0003605,0.9259774533285836,0.9021997432423183,1
STARLINK-1019,53.0539,554.315436369744,0.0001327,0.9259652360238195,0.9339212823894428,1
STARLINK-1020,53.0526,554.3740393999979,0.0001431,0.9259425467435436,0.9340603581679007,1
STARLINK-1021,53.0442,305.61023400626345,0.0002851,0.9257959390863761,0.3436980554437324,0
STARLINK-1029,53.0503,322.1277355317943,0.0006798,0.9259024041707478,0.38289712711104484,0
STARLINK-1030,53.0344,223.65732562130688,0.0003825,0.9256248968196806,0.1492087179273336,0
STARLINK-1031,53.0539,461.74172600422935,0.0007745,0.9259652360238195,0.7142268266923845,0
STARLINK-1036,53.0537,554.4735303915104,0.0001216,0.9259617453653156,0.9342964686050951,1
STARLINK-1039,53.0513,545.7486790760722,0.0005011,0.9259198574632677,0.9135907903600002,1
STARLINK-1042,53.0447,451.043793782892,0.000318,0.9258046657326361,0.6888386642521951,0
STARLINK-1043,53.0526,554.3276251830284,9.35e-05,0.9259425467435436,0.9339502086870877,1
STARLINK-1046,53.0492,554.3726908512926,0.0001433,0.9258832055489759,0.934057157813582,1
STARLINK-1047,53.0716,489.2287597458508,0.000484,0.9262741593014225,0.779458617583654,0
STARLINK-1048,53.0547,554.3706956133901,0.0001398,0.9259791986578355,0.9340524227467553,1
STARLINK-1053,53.0411,409.61055603318255,0.0003384,0.9257418338795643,0.5905099640278154,0
STARLINK-1054,53.0453,382.3615319206938,0.0011112,0.925815137708148,0.5258430137993703,0
STARLINK-1056,53.0432,349.0118143408208,0.0010997,0.9257784857938562,0.4466979949551201,0
STARLINK-1057,53.0422,299.24149372126067,0.0003276,0.9257610325013362,0.32858386238757037,0
STARLINK-1060,53.0537,487.4569689435612,9.03e-05,0.9259617453653156,0.7752538318579749,0
STARLINK-1063,53.0538,554.3751611478301,0.0001517,0.9259634906945676,0.9340630202819984,1
STARLINK-1067,53.0509,554.2899770325794,0.000107,0.9259128761462597,0.9338608626957878,1
STARLINK-1068,53.0539,554.3016998835728,0.0001476,0.9259652360238195,0.9338886831791416,1
STARLINK-1112,53.0534,437.5747634427462,0.0004498,0.9259565093775597,0.6568741758714008,0
STARLINK-1114,53.0563,554.3426245154278,0.0001256,0.9260071239258675,0.9339858048639536,1
STARLINK-1123,53.0564,554.3590582867037,0.000131,0.9260088692551194,0.9340248052283252,1
STARLINK-1144,53.0488,425.5892641512792,0.0010926,0.9258762242319679,0.6284303797580152,0
STARLINK-1071,53.0342,213.41393103791503,0.0007221,0.9256214061611767,0.12489925697342988,0
STARLINK-1091,53.0438,353.90095408336674,0.0004821,0.9257889577693681,0.45830082355866725,0
STARLINK-1094,53.0569,554.3581939941787,0.0001359,0.9260175959013794,0.9340227541030642,1
STARLINK-1096,52.9932,351.8725066952402,0.0002819,0.924905821167859,0.45348694450936655,0
STARLINK-1122,53.0576,554.3870038903569,0.0001385,0.9260298132061434,0.9340911252900306,1
STARLINK-1066,53.0387,248.30997133054643,0.0001406,0.9256999459775165,0.20771398426266002,0
STARLINK-1080,53.0556,554.3996496904729,0.0001081,0.9259949066211035,0.9341211361015488,1
STARLINK-1090,53.0568,554.342603061481,0.0001123,0.9260158505721274,0.9339857539497884,1
STARLINK-1107,53.0134,410.7339845984916,0.0007845,0.9252583776767619,0.5931760668144014,0
STARLINK-1132,53.0552,554.3897990792084,0.0001325,0.9259879253040956,0.9340977587877144,1
STARLINK-1131,53.0584,554.4563266322411,0.0001372,0.9260437758401593,0.9342556409174754,1
STARLINK-1134,53.047,503.8307293531152,0.0007006,0.9258448083054319,0.8141117793971613,0
STARLINK-1156,53.0558,554.3769939499089,0.0001377,0.9259983972796074,0.9340673698587141,1
STARLINK-1159,53.0558,554.3574890749424,0.0001357,0.9259983972796074,0.9340210811999546,1
STARLINK-1166,53.0568,554.3779992331702,0.0001109,0.9260158505721274,0.934069755580946,1
STARLINK-1169,53.056,554.3717438027079,0.0001182,0.9260018879381114,0.9340549102929573,1
STARLINK-1171,53.0567,554.4014212104657,0.0001283,0.9260141052428754,0.9341253402445939,1
STARLINK-1133,53.0545,554.3588314865119,0.000125,0.9259757079993315,0.9340242669897207,1
STARLINK-1150,53.042,298.6424544449401,0.000281,0.9257575418428323,0.32716223191351046,0
STARLINK-1167,53.0543,554.316861511099,6.39e-05,0.9259722173408276,0.9339246645122187,1
STARLINK-1168,53.0539,554.373751300901,0.0001059,0.9259652360238195,0.9340596744557104,1
STARLINK-1172,53.0559,554.3228992148606,0.0001274,0.9260001426088595,0.9339389930946677,1
STARLINK-1153,53.0536,554.3387873266247,0.0001223,0.9259600000360637,0.9339766985085727,1
STARLINK-1151,53.0533,554.3648079842706,0.0001159,0.9259547640483077,0.9340384503190577,1
